iter	RMSE
0	14.4885506
1	14.11066006
2	13.76208241
3	13.45642559
4	13.13683017
5	12.8448645
6	12.5416033
7	12.30497849
8	12.05802868
9	11.76028252
10	11.52141611
11	11.28237616
12	11.04046124
13	10.82163426
14	10.57583636
15	10.36365673
16	10.15424938
17	9.96279315
18	9.769936393
19	9.5918248
20	9.437330464
21	9.266975077
22	9.094676844
23	8.93084044
24	8.777507701
25	8.625313419
26	8.486893618
27	8.348000187
28	8.217979884
29	8.104994649
30	7.97847777
31	7.860008692
32	7.750244066
33	7.645525449
34	7.537459274
35	7.449725076
36	7.384505914
37	7.296560129
38	7.203193256
39	7.133669632
40	7.05306701
41	6.976374245
42	6.901403999
43	6.833782978
44	6.760275886
45	6.690745302
46	6.633496132
47	6.57760806
48	6.518304319
49	6.470006812
50	6.412073
51	6.353835134
52	6.306031424
53	6.257584811
54	6.216252083
55	6.169208346
56	6.128277481
57	6.086699309
58	6.054781988
59	6.015875744
60	5.976557594
61	5.949757252
62	5.913087785
63	5.8861234
64	5.854551183
65	5.824157185
66	5.792811826
67	5.764833357
68	5.750740934
69	5.722366074
70	5.704750191
71	5.67971041
72	5.651817533
73	5.629260505
74	5.608106906
75	5.585197419
76	5.561143269
77	5.541786166
78	5.524201826
79	5.504694504
80	5.495023704
81	5.478469793
82	5.462215662
83	5.45117087
84	5.433336236
85	5.415136604
86	5.394438092
87	5.382136094
88	5.371885641
89	5.360748848
90	5.348024168
91	5.334945837
92	5.323550702
93	5.311369932
94	5.304306482
95	5.293639213
96	5.283999274
97	5.275703373
98	5.265158838
99	5.254597718
100	5.245156825
101	5.234008927
102	5.224081645
103	5.216291503
104	5.20809574
105	5.197622238
106	5.186000794
107	5.178995272
108	5.167351968
109	5.159490657
110	5.154364884
111	5.147089391
112	5.145287594
113	5.133771053
114	5.125147395
115	5.11794533
116	5.11220815
117	5.107623098
118	5.10101357
119	5.094715042
120	5.091501819
121	5.085142178
122	5.0763558
123	5.072884657
124	5.065732494
125	5.05864466
126	5.052401723
127	5.043623395
128	5.037288439
129	5.033441047
130	5.02702045
131	5.022613395
132	5.015571683
133	5.008992674
134	5.000814151
135	4.991953818
136	4.988834806
137	4.984146273
138	4.978026701
139	4.974869206
140	4.97028182
141	4.962965527
142	4.95692918
143	4.953503202
144	4.951394226
145	4.945225976
146	4.941304694
147	4.935765263
148	4.931481174
149	4.926602684
150	4.923013635
151	4.915685329
152	4.909319792
153	4.901553782
154	4.895697778
155	4.891578788
156	4.884841004
157	4.880143543
158	4.877972221
159	4.873850065
160	4.866874473
161	4.861193499
162	4.855745725
163	4.853710887
164	4.84932887
165	4.846344177
166	4.84247667
167	4.83720982
168	4.832751125
169	4.827404345
170	4.823937595
171	4.821259362
172	4.816279197
173	4.812567093
174	4.808239571
175	4.804548258
176	4.801764614
177	4.798351242
178	4.793890992
179	4.789941673
180	4.784510936
181	4.777513036
182	4.775173341
183	4.769876869
184	4.766816919
185	4.762788677
186	4.759855919
187	4.756330483
188	4.754138597
189	4.749718213
190	4.746784811
191	4.743866533
192	4.74047679
193	4.73886398
194	4.734993152
195	4.732612628
196	4.729341682
197	4.726900665
198	4.723482003
199	4.718737259
200	4.71496448
201	4.712117458
202	4.706859117
203	4.702873304
204	4.697001316
205	4.692516682
206	4.690204047
207	4.686600059
208	4.681307553
209	4.676320412
210	4.672065905
211	4.6707734
212	4.666846974
213	4.664071576
214	4.659819604
215	4.658299957
216	4.652976624
217	4.651908256
218	4.647720731
219	4.643514536
220	4.640689955
221	4.63914673
222	4.633625828
223	4.631713962
224	4.628558553
225	4.625861764
226	4.625026041
227	4.622739416
228	4.621657416
229	4.620247046
230	4.61740235
231	4.612546713
232	4.610591725
233	4.606236552
234	4.600084202
235	4.596053361
236	4.592540649
237	4.589556948
238	4.587502487
239	4.58314779
240	4.581856065
241	4.579949236
242	4.575820825
243	4.572308884
244	4.56838912
245	4.564934341
246	4.563145591
247	4.560783349
248	4.556564277
249	4.552374179
250	4.545871106
251	4.543272265
252	4.540210037
253	4.538184952
254	4.534073591
255	4.529391664
256	4.528830779
257	4.526903699
258	4.523731941
259	4.523408335
260	4.521134174
261	4.517485511
262	4.51550231
263	4.510976325
264	4.509465528
265	4.508647677
266	4.504883209
267	4.504370691
268	4.500468676
269	4.497224282
270	4.49478904
271	4.492291449
272	4.490606159
273	4.489940111
274	4.486944193
275	4.484376591
276	4.484105369
277	4.479646352
278	4.476419919
279	4.475779988
280	4.470613622
281	4.466712734
282	4.466139113
283	4.462513021
284	4.460632581
285	4.455947894
286	4.453939348
287	4.44892828
288	4.445647126
289	4.445060832
290	4.441925416
291	4.440209831
292	4.437289191
293	4.43612837
294	4.434067762
295	4.431194024
296	4.43095077
297	4.429470775
298	4.4236911
299	4.420579313
300	4.418713244
301	4.412173717
302	4.40683515
303	4.405609804
304	4.402478601
305	4.402351562
306	4.39805113
307	4.393483306
308	4.391014632
309	4.389124403
310	4.386794521
311	4.382804369
312	4.378555169
313	4.372172406
314	4.369565993
315	4.36734823
316	4.36584544
317	4.363726865
318	4.360156091
319	4.35611196
320	4.353302221
321	4.348923917
322	4.343974768
323	4.340428936
324	4.335523357
325	4.333818293
326	4.331066896
327	4.329031158
328	4.32805554
329	4.325573173
330	4.324222293
331	4.322392084
332	4.316836135
333	4.31618007
334	4.314455091
335	4.313966837
336	4.309535881
337	4.307554501
338	4.303642242
339	4.300819064
340	4.298297185
341	4.29642809
342	4.29526688
343	4.2916711
344	4.283193009
345	4.278197711
346	4.272006977
347	4.267198059
348	4.2652673
349	4.263207291
350	4.259451164
351	4.255727248
352	4.254537746
353	4.249479661
354	4.246995254
355	4.242633527
356	4.239571733
357	4.235410974
358	4.233475388
359	4.230144404
360	4.224234765
361	4.218516056
362	4.215952077
363	4.211590595
364	4.209776463
365	4.209604356
