iter	Passed	Remaining
0	3	373
1	7	358
2	10	346
3	14	358
4	18	360
5	22	347
6	25	340
7	29	334
8	32	325
9	35	319
10	39	316
11	42	313
12	46	312
13	50	310
14	55	316
15	60	316
16	64	315
17	69	316
18	73	311
19	76	305
20	79	300
21	83	296
22	87	293
23	91	289
24	94	284
25	98	280
26	101	273
27	103	266
28	106	259
29	107	251
30	109	244
31	111	236
32	112	229
33	114	222
34	116	215
35	117	209
36	119	202
37	120	196
38	122	191
39	123	185
40	125	180
41	125	173
42	127	168
43	128	163
44	129	158
45	130	153
46	132	149
47	133	144
48	135	140
49	136	136
50	138	132
51	138	128
52	140	124
53	141	120
54	143	117
55	144	113
56	146	110
57	147	106
58	149	103
59	150	100
60	152	97
61	153	94
62	155	91
63	156	88
64	158	85
65	159	82
66	161	79
67	162	76
68	164	73
69	165	70
70	167	68
71	168	65
72	169	62
73	171	60
74	172	57
75	173	54
76	175	52
77	176	49
78	178	47
79	179	44
80	180	42
81	182	40
82	182	37
83	184	35
84	186	32
85	187	30
86	189	28
87	190	25
88	192	23
89	193	21
90	194	19
91	196	17
92	197	14
93	199	12
94	200	10
95	202	8
96	203	6
97	204	4
98	206	2
99	207	0
